batch,record_kind,source_path,source_heading,repository,original_path,normalized_path,rule
micro-02b,content-unit,templates/README.md,Operação e analytics,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,content-unit,templates/README.md,Regras de uso,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,content-unit,templates/README.md,Templates,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Consequências negativas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Consequências positivas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Contexto,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Critérios de validação,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Decisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Evidências,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Forças e restrições,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Gatilhos para revisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Justificativa,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Opção A — Nome,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Opção B — Nome,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Opções consideradas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,Riscos,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,content-unit,templates/adr-template.md,adr-template.md: Título da decisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02b,file-destination,assessments/README.md,,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02b,file-destination,schemas/README.md,,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,file-destination,templates/README.md,,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,file-destination,templates/adr-template.md,,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02c,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,ADR-0008 — Build verificável e publicação manual do site,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
